iter	RMSE
0	164.1904384
1	157.390899
2	151.3767491
3	144.9914318
4	138.7987753
5	133.7583389
6	129.0898354
7	124.7068095
8	120.1083007
9	115.8566291
10	112.1127885
11	108.8247833
12	105.5847698
13	102.353136
14	99.12236656
15	96.20456337
16	93.74554967
17	91.31999174
18	88.7903439
19	86.19811845
20	83.85851504
21	81.91696865
22	80.15411438
23	78.35029078
24	76.65947498
25	74.9216699
26	73.55345509
27	72.35510057
28	71.21726052
29	70.12649821
30	68.75876934
31	67.4511064
32	66.70367265
33	65.86198546
34	64.9756327
35	63.78870617
36	62.96025925
37	62.33818779
38	61.4474754
39	60.79900877
40	60.21263657
41	59.65880921
42	59.13719003
43	58.6460627
44	58.25052758
45	57.86466937
46	57.47344359
47	57.07801486
48	56.71627818
49	56.44109382
50	55.72572379
51	55.37140297
52	55.06075333
53	54.79060221
54	54.55929677
55	54.31918516
56	53.9915121
57	53.76038858
58	53.49075895
59	53.27177007
60	53.05431977
61	52.40506119
62	52.19416205
63	51.60464855
64	51.45315079
65	51.28194051
66	51.08385288
67	50.87964075
68	50.51673429
69	50.40212649
70	50.11731555
71	49.95515775
72	49.52841367
73	49.40946324
74	49.2948305
75	49.06147589
76	48.93408726
77	48.72661049
78	48.55930705
79	48.45630163
80	48.2099585
81	47.88206431
82	47.61694518
83	47.54320077
84	47.43277385
85	47.35702636
86	47.22939643
87	47.14285387
88	47.01559098
89	46.95002672
90	46.82072819
91	46.44224007
92	46.18005054
93	46.01806367
94	45.88068688
95	45.80826114
96	45.70980706
97	45.60534151
98	45.51928149
99	45.4216754
100	45.27649571
101	45.15724424
102	45.0852647
103	44.97120753
104	44.86977706
105	44.74237663
106	44.57046251
107	44.46677168
108	44.41302595
109	44.30760953
110	44.23323681
111	44.17898942
112	43.98488834
113	43.9314152
114	43.87380281
115	43.81049543
116	43.74186399
117	43.63505634
118	43.58449764
119	43.52714401
120	43.48103788
121	43.31378402
122	43.07701759
123	42.98162098
124	42.93971624
125	42.90050827
126	42.79304011
127	42.71531722
128	42.65699027
129	42.61007134
130	42.50650612
131	42.47086022
132	42.3709517
133	42.19475911
134	42.15553144
135	42.02402009
136	41.97725364
137	41.91753902
138	41.72351103
139	41.54040185
140	41.47716474
141	41.31099585
142	41.22089632
143	41.15740722
144	41.0775004
145	40.96506299
146	40.88383838
147	40.83668134
148	40.74879912
149	40.70802394
150	40.60683254
151	40.56607457
152	40.53213074
153	40.43863551
154	40.36397683
155	40.27641037
156	40.1984923
157	40.14662392
158	40.09949141
159	40.03353854
160	39.98134155
161	39.91879986
162	39.81640231
163	39.77201337
164	39.70180157
165	39.65753857
166	39.61083775
167	39.54872602
168	39.49428057
169	39.45786958
170	39.36589607
171	39.32983251
172	39.22999904
173	39.18271841
174	39.12411557
175	39.04840365
176	39.01182235
177	38.9428554
178	38.90102838
179	38.85804584
180	38.81395982
181	38.76689027
182	38.70504348
183	38.62207837
184	38.56745783
185	38.52875325
186	38.49584964
187	38.44734718
188	38.41512521
189	38.37970273
190	38.33490623
191	38.29403889
192	38.25030612
193	38.21228462
194	38.16411335
195	38.12538121
196	38.07415532
197	38.003563
198	37.96838777
199	37.9352358
200	37.89877623
201	37.85090406
202	37.79854784
203	37.74966004
204	37.69117723
205	37.64322505
206	37.60555261
207	37.56922312
208	37.5218496
209	37.49533618
210	37.45536251
211	37.41304053
212	37.38499296
213	37.3493143
214	37.29587087
215	37.25137904
216	37.18818604
217	37.14087798
218	37.11359131
219	37.07533166
220	37.03728397
221	37.00390611
222	36.9513073
223	36.90681063
224	36.87495814
225	36.8228123
226	36.7807645
227	36.75122616
228	36.71719219
229	36.67443358
230	36.63404086
231	36.61104583
232	36.56451612
233	36.53067527
234	36.49813299
235	36.45188263
236	36.41353453
237	36.37717454
238	36.35181894
239	36.31174937
240	36.29419453
241	36.2588388
242	36.23693867
243	36.19014268
244	36.16090741
245	36.12281306
246	36.09564605
247	36.07328436
248	36.03204098
249	35.99570756
250	35.95357829
251	35.9230042
252	35.89606292
253	35.87350686
254	35.83114974
255	35.791378
256	35.75233538
257	35.73172957
258	35.69390351
259	35.64984967
260	35.60603244
261	35.57810422
262	35.54538857
263	35.50573869
264	35.46998405
265	35.43095525
266	35.40261375
267	35.37116368
268	35.35442095
269	35.31915659
270	35.27101669
271	35.22414422
272	35.19299157
273	35.16475957
274	35.14601089
275	35.11268373
